County,AQI_records_20,Good_20,Moderate_20,Unhealthy_sens_20,Unhealthy_20,Very_unhealthy_20,Hazardous_20,Max_AQI_20,90th_Percentile_AQI_20,Median_AQI_20,CO_20,NO2_20,O3_20,PM2.5_20,PM10_20
Baldwin,269,223,46,0,0,0,0,74,54,38,0,0,178,91,0
Clay,105,83,22,0,0,0,0,88,56,34,0,0,0,105,0
DeKalb,364,332,32,0,0,0,0,91,49,37,0,0,309,55,0
Elmore,197,197,0,0,0,0,0,47,41,31,0,0,197,0,0
Etowah,276,239,37,0,0,0,0,93,53,36,0,0,191,85,0
Jefferson,366,119,244,3,0,0,0,129,70,54,0,0,58,308,0
Lawrence,90,84,6,0,0,0,0,78,48,24,0,0,0,90,0
Madison,364,210,154,0,0,0,0,89,59,47,0,0,72,288,4
Mobile,348,188,160,0,0,0,0,78,62,49,0,0,84,264,0
Montgomery,361,70,289,2,0,0,0,116,70,58,0,0,18,343,0
Morgan,355,251,104,0,0,0,0,75,58,41,0,0,96,259,0
Russell,365,236,129,0,0,0,0,99,61,44,0,0,49,316,0
Shelby,241,232,9,0,0,0,0,67,46,34,0,0,241,0,0
Sumter,355,314,41,0,0,0,0,74,51,33,0,0,139,216,0
Tuscaloosa,278,247,31,0,0,0,0,97,52,34,0,0,186,92,0
Aleutians East ,121,121,0,0,0,0,0,41,29,11,0,0,0,121,0
Anchorage ,366,294,72,0,0,0,0,92,55,27,6,0,0,267,93
Bethel ,167,165,2,0,0,0,0,56,24,7,0,0,0,30,137
Denali ,358,356,2,0,0,0,0,54,42,33,0,0,353,5,0
Fairbanks North Star ,366,231,98,17,20,0,0,177,106,39,0,0,76,287,3
Juneau ,361,320,40,1,0,0,0,101,52,19,0,0,0,336,25
Kenai Peninsula ,122,120,2,0,0,0,0,53,19,10,0,0,0,122,0
Matanuska-Susitna ,359,317,41,1,0,0,0,103,53,17,0,0,0,303,56
North Slope ,112,111,1,0,0,0,0,54,16,6,0,0,0,112,0
Apache,364,356,8,0,0,0,0,63,30,14,0,0,0,53,311
Cochise,366,271,93,2,0,0,0,108,61,45,0,0,301,4,61
Coconino,366,302,64,0,0,0,0,93,58,44,0,0,345,21,0
Gila,366,256,99,8,3,0,0,174,74,44,0,0,338,1,27
La Paz,366,292,72,2,0,0,0,125,58,44,0,0,350,9,7
Maricopa,366,11,154,60,66,75,0,282,216,112,0,0,271,63,32
Mohave,358,348,9,1,0,0,0,116,36,19,0,0,0,51,307
Navajo,366,314,50,2,0,0,0,136,54,43,0,0,359,4,3
Pima,366,124,229,12,0,1,0,277,77,55,0,0,169,99,98
Pinal,366,86,196,74,8,0,2,1194,121,73,0,0,123,60,183
Santa Cruz,360,208,147,4,1,0,0,170,71,44,0,0,0,303,57
Yavapai,331,265,65,1,0,0,0,119,61,45,0,0,331,0,0
Yuma,366,206,157,2,0,0,1,319,70,49,0,0,174,152,40
Arkansas,119,84,35,0,0,0,0,84,56,36,0,0,0,119,0
Ashley,122,91,31,0,0,0,0,91,56,37,0,0,0,122,0
Clark,342,341,1,0,0,0,0,67,40,29,0,0,342,0,0
Crittenden,366,244,119,3,0,0,0,115,60,45,0,3,104,259,0
Garland,121,79,42,0,0,0,0,85,58,39,0,0,0,121,0
Jackson,122,92,30,0,0,0,0,79,57,34,0,0,0,122,0
Newton,364,352,12,0,0,0,0,84,46,35,0,0,343,21,0
Polk,359,322,37,0,0,0,0,84,51,37,0,0,299,60,0
Pulaski,366,186,178,2,0,0,0,132,64,50,0,3,68,295,0
Union,121,74,47,0,0,0,0,90,57,45,0,0,0,121,0
Washington,366,251,114,1,0,0,0,150,58,44,0,0,129,237,0
Alameda,366,169,177,8,11,1,0,243,81,52,0,6,87,273,0
Amador,359,327,29,2,1,0,0,156,50,37,0,0,359,0,0
Butte,366,149,178,18,16,3,2,508,110,54,0,0,159,204,3
Calaveras,364,206,135,10,12,1,0,210,79,48,0,0,182,177,5
Colusa,366,218,116,9,22,1,0,221,87,42,0,0,148,190,28
Contra Costa,366,192,156,7,10,1,0,221,75,49,0,2,107,257,0
Del Norte,292,193,90,4,3,2,0,245,61,42,0,0,0,292,0
El Dorado,366,256,87,17,6,0,0,190,90,43,0,0,346,13,7
Fresno,366,75,192,59,31,8,1,346,154,76,0,0,149,204,13
Glenn,364,200,135,7,19,3,0,221,84,46,0,0,151,202,11
Humboldt,366,318,45,3,0,0,0,109,53,29,0,0,225,80,61
Imperial,366,94,244,26,2,0,0,166,97,60,0,1,153,146,66
Inyo,366,158,153,23,16,8,8,705,130,57,0,0,218,128,20
Kern,366,56,180,98,28,4,0,267,140,83,0,0,184,166,16
Kings,366,76,220,54,13,2,1,548,124,70,0,0,118,199,49
Lake,351,341,6,1,3,0,0,190,44,32,0,0,324,25,2
Los Angeles,366,35,194,77,43,17,0,250,166,85,0,9,180,175,2
Madera,366,104,209,34,15,4,0,275,113,64,0,0,173,174,19
Marin,366,272,85,4,4,1,0,231,62,36,0,8,148,210,0
Mariposa,366,195,123,27,10,6,5,1073,111,49,0,0,275,84,7
Mendocino,366,240,103,10,10,0,3,716,79,40,0,0,112,252,2
Merced,366,131,203,17,15,0,0,194,96,57,0,0,164,201,1
Mono,366,183,117,13,14,11,28,2088,224,51,0,0,0,331,35
Monterey,366,259,92,4,8,3,0,275,64,39,0,0,171,171,24
Napa,365,259,91,7,7,1,0,224,66,39,3,0,163,199,0
Nevada,366,223,111,15,11,6,0,277,91,46,0,0,173,193,0
Orange,366,118,207,28,11,2,0,218,108,56,0,4,153,207,2
Placer,366,130,195,20,15,6,0,247,108,57,0,0,181,177,8
Plumas,360,135,175,16,17,10,7,755,146,56,0,0,0,360,0
Riverside,366,42,179,98,36,9,2,584,159,87,0,0,211,124,31
Sacramento,366,145,185,17,16,3,0,226,100,55,0,0,166,191,9
San Benito,366,271,78,8,9,0,0,174,68,41,0,0,241,117,8
San Bernardino,366,33,170,76,69,18,0,236,185,93,0,6,219,128,13
San Diego,366,33,284,35,14,0,0,192,108,74,0,0,100,263,3
San Francisco,366,227,131,3,4,1,0,223,67,42,0,5,118,243,0
San Joaquin,366,162,173,16,13,2,0,215,97,54,0,0,129,223,14
San Luis Obispo,366,161,174,21,7,1,2,334,90,53,0,0,179,181,6
San Mateo,366,257,99,5,5,0,0,199,64,37,0,11,136,219,0
Santa Barbara,366,199,154,9,4,0,0,174,68,48,0,0,156,207,3
Santa Clara,366,174,172,11,9,0,0,198,81,52,0,3,107,256,0
Santa Cruz,366,261,85,6,10,1,3,624,68,39,0,0,138,228,0
Shasta,366,295,63,6,2,0,0,171,66,41,0,0,339,27,0
Siskiyou,366,272,71,10,9,2,2,468,66,39,0,0,210,156,0
Solano,366,183,167,9,6,1,0,228,77,51,0,0,125,240,1
Sonoma,366,290,69,1,6,0,0,199,57,36,0,1,166,192,7
Stanislaus,366,131,198,21,16,0,0,195,102,60,0,1,169,182,14
Sutter,366,162,173,15,13,2,1,356,90,53,0,0,140,222,4
Tehama,366,216,117,12,19,2,0,218,94,46,0,0,214,152,0
Trinity,343,215,100,12,13,3,0,211,81,36,0,0,0,343,0
Tulare,366,52,179,103,30,2,0,225,145,80,0,0,164,190,12
Tuolumne,353,277,71,5,0,0,0,143,64,41,0,0,353,0,0
Ventura,366,185,155,21,5,0,0,174,90,50,0,0,239,119,8
Yolo,366,215,123,14,13,1,0,209,86,45,0,1,168,197,0
Adams,366,192,162,11,1,0,0,151,74,49,0,60,163,97,46
Alamosa,119,112,7,0,0,0,0,65,40,14,0,0,0,119,0
Arapahoe,366,243,112,9,2,0,0,159,77,46,0,0,350,16,0
Archuleta,365,302,63,0,0,0,0,93,58,43,0,0,319,0,46
Boulder,366,173,172,19,2,0,0,181,84,51,0,0,213,152,1
Chaffee,69,37,29,3,0,0,0,101,84,50,0,0,69,0,0
Clear Creek,239,140,87,10,2,0,0,156,84,49,0,0,239,0,0
Delta,365,312,53,0,0,0,0,97,54,41,0,0,304,61,0
Denver,366,137,212,17,0,0,0,150,80,53,0,83,115,167,1
Douglas,361,221,123,14,3,0,0,159,80,47,0,0,285,76,0
El Paso,366,241,118,6,1,0,0,151,74,46,0,0,318,48,0
Fremont,17,17,0,0,0,0,0,27,20,11,0,0,0,0,17
Garfield,366,232,129,5,0,0,0,150,75,48,0,0,347,19,0
Gilpin,357,278,70,9,0,0,0,136,67,45,0,0,357,0,0
Grand,175,134,39,2,0,0,0,112,71,45,0,0,175,0,0
Gunnison,335,270,62,3,0,0,0,115,58,44,0,0,335,0,0
Jackson,81,73,8,0,0,0,0,85,41,7,0,0,0,81,0
Jefferson,366,231,108,23,4,0,0,161,90,46,0,0,366,0,0
La Plata,366,273,91,2,0,0,0,133,61,45,0,0,326,40,0
Larimer,366,197,147,20,2,0,0,159,89,49,0,0,291,75,0
Mesa,366,262,101,3,0,0,0,108,64,44,0,0,255,110,1
Montezuma,366,301,63,2,0,0,0,126,58,44,0,0,366,0,0
Park,343,187,146,8,2,0,0,161,74,50,0,0,343,0,0
Pitkin,120,116,4,0,0,0,0,72,34,12,0,0,0,52,68
Prowers,350,327,19,1,2,1,0,238,42,17,0,0,0,0,350
Pueblo,96,84,12,0,0,0,0,67,52,22,0,0,0,65,31
Rio Blanco,365,263,99,3,0,0,0,115,57,45,0,1,185,179,0
Routt,358,353,5,0,0,0,0,68,29,14,0,0,0,0,358
San Juan,119,115,4,0,0,0,0,73,31,9,0,0,0,119,0
San Miguel,247,155,90,2,0,0,0,136,67,48,0,0,191,0,56
Weld,366,166,187,13,0,0,0,140,84,52,0,1,223,142,0
Fairfield,366,217,136,12,1,0,0,161,80,47,0,6,150,210,0
Hartford,366,255,111,0,0,0,0,98,60,42,1,11,145,209,0
Litchfield,362,300,62,0,0,0,0,84,54,39,2,0,250,110,0
Middlesex,208,182,24,2,0,0,0,129,54,39,0,0,208,0,0
New Haven,366,210,143,11,2,0,0,174,77,46,1,7,158,198,2
New London,365,274,87,3,1,0,0,172,61,41,0,0,149,216,0
Tolland,206,192,14,0,0,0,0,93,48,39,0,0,206,0,0
Windham,356,345,11,0,0,0,0,87,44,35,0,0,356,0,0
BAJA CALIFORNIA NORTE,92,0,37,35,20,0,0,185,158,115,0,0,0,92,0
SONORA,146,125,20,1,0,0,0,101,64,41,0,0,146,0,0
Kent,362,296,66,0,0,0,0,80,54,39,0,0,208,154,0
New Castle,366,231,133,2,0,0,0,105,63,46,0,3,139,224,0
Sussex,366,286,80,0,0,0,0,87,56,42,0,0,190,176,0
District of Columbia,366,248,117,0,1,0,0,171,58,44,0,25,138,203,0
Alachua,366,274,91,1,0,0,0,105,56,42,0,0,100,266,0
Baker,363,283,78,2,0,0,0,140,55,40,0,0,137,226,0
Bay,363,210,151,2,0,0,0,146,62,47,0,0,92,271,0
Brevard,366,265,101,0,0,0,0,85,57,43,0,0,142,224,0
Broward,366,192,172,2,0,0,0,142,60,49,0,0,59,307,0
Citrus,359,241,117,1,0,0,0,125,59,43,0,0,0,359,0
Collier,364,267,97,0,0,0,0,87,58,41,0,0,73,291,0
Columbia,311,197,111,1,2,0,0,160,61,44,0,0,38,273,0
Duval,366,162,201,3,0,0,0,125,63,52,0,0,38,328,0
Escambia,360,176,184,0,0,0,0,82,63,51,0,0,82,278,0
Flagler,366,363,3,0,0,0,0,64,43,31,0,0,366,0,0
Hamilton,298,190,106,1,1,0,0,155,58,46,0,0,0,298,0
Highlands,358,345,13,0,0,0,0,74,44,31,0,0,358,0,0
Hillsborough,366,176,187,3,0,0,0,112,63,52,0,0,65,300,1
Holmes,363,221,139,3,0,0,0,138,59,47,0,0,56,307,0
Indian River,338,323,15,0,0,0,0,87,47,37,0,0,338,0,0
Lake,366,354,12,0,0,0,0,87,45,32,0,0,366,0,0
Lee,366,284,82,0,0,0,0,100,55,39,0,0,176,190,0
Leon,366,185,178,2,1,0,0,163,63,49,0,0,33,333,0
Liberty,358,356,2,0,0,0,0,51,44,31,0,0,358,0,0
Manatee,366,355,11,0,0,0,0,97,44,33,0,0,366,0,0
Marion,366,229,137,0,0,0,0,100,59,46,0,0,66,300,0
Martin,365,275,90,0,0,0,0,96,57,42,0,0,93,272,0
Miami-Dade,366,226,140,0,0,0,0,90,62,45,0,1,63,302,0
Nassau,43,35,8,0,0,0,0,57,53,42,0,0,0,43,0
Okaloosa,364,355,9,0,0,0,0,74,46,34,0,0,334,0,30
Orange,366,354,12,0,0,0,0,93,45,34,0,0,366,0,0
Osceola,366,354,12,0,0,0,0,90,44,32,0,0,366,0,0
Palm Beach,361,267,94,0,0,0,0,93,58,42,0,0,121,222,18
Pasco,366,355,11,0,0,0,0,77,46,35,0,0,366,0,0
Pinellas,366,226,140,0,0,0,0,100,60,46,0,0,76,290,0
Polk,365,252,113,0,0,0,0,87,59,42,0,0,105,258,2
Putnam,366,365,1,0,0,0,0,67,27,14,0,0,0,0,366
Santa Rosa,365,223,142,0,0,0,0,86,61,47,0,0,100,265,0
Sarasota,366,244,122,0,0,0,0,90,60,44,0,0,88,278,0
Seminole,365,287,78,0,0,0,0,84,55,40,0,0,135,227,3
St. Lucie,360,351,9,0,0,0,0,74,44,33,0,0,360,0,0
Volusia,362,252,110,0,0,0,0,77,56,44,0,0,116,246,0
Wakulla,363,265,96,0,2,0,0,164,58,41,4,0,102,257,0
Bibb,366,262,104,0,0,0,0,97,57,42,0,0,61,305,0
Charlton,120,111,8,1,0,0,0,139,45,26,0,0,0,120,0
Chatham,365,232,132,1,0,0,0,131,59,46,0,0,47,318,0
Chattooga,245,244,1,0,0,0,0,58,43,32,0,0,245,0,0
Clarke,366,249,117,0,0,0,0,99,59,44,0,0,80,286,0
Clayton,121,86,35,0,0,0,0,91,59,38,0,0,0,121,0
Cobb,285,243,42,0,0,0,0,91,54,36,0,0,195,90,0
Coffee,120,99,20,1,0,0,0,108,53,33,0,0,0,120,0
Columbia,241,239,2,0,0,0,0,51,44,31,0,0,241,0,0
Dawson,245,239,6,0,0,0,0,74,43,31,0,0,245,0,0
DeKalb,366,215,150,1,0,0,0,106,61,46,0,14,64,288,0
Dougherty,366,194,170,2,0,0,0,114,65,49,0,0,0,366,0
Douglas,245,238,7,0,0,0,0,77,44,32,0,0,245,0,0
Floyd,327,208,119,0,0,0,0,82,58,42,0,0,0,327,0
Fulton,366,166,198,2,0,0,0,125,66,52,0,3,37,326,0
Glynn,285,256,29,0,0,0,0,97,51,33,0,0,198,87,0
Gwinnett,364,246,117,1,0,0,0,101,60,43,0,0,95,269,0
Hall,360,221,139,0,0,0,0,99,60,44,0,0,0,360,0
Henry,366,291,75,0,0,0,0,96,55,36,0,0,116,250,0
Houston,363,202,160,1,0,0,0,114,62,47,0,0,0,363,0
Lowndes,202,143,58,1,0,0,0,141,60,40,0,0,0,202,0
Murray,272,257,15,0,0,0,0,61,46,34,0,0,227,45,0
Muscogee,366,257,108,1,0,0,0,101,59,42,0,0,84,282,0
Pike,354,351,3,0,0,0,0,64,44,33,0,0,354,0,0
Richmond,366,175,190,1,0,0,0,114,64,51,0,0,44,307,15
Rockdale,244,232,12,0,0,0,0,77,46,34,0,0,244,0,0
Sumter,240,237,3,0,0,0,0,64,44,32,0,0,240,0,0
Walker,177,118,59,0,0,0,0,86,58,41,0,0,0,177,0
Washington,354,230,122,2,0,0,0,112,59,43,0,0,0,354,0
Hawaii,366,352,14,0,0,0,0,83,41,23,0,0,0,366,0
Honolulu,366,363,3,0,0,0,0,63,38,28,0,1,229,133,3
Kauai,365,361,4,0,0,0,0,52,32,15,0,69,0,296,0
Maui,349,343,6,0,0,0,0,61,31,21,0,0,0,349,0
Ada,366,242,106,11,7,0,0,198,76,44,0,8,170,187,1
Bannock,362,284,72,2,4,0,0,165,61,38,0,0,135,165,62
Benewah,366,218,139,2,3,3,1,492,69,42,0,0,0,366,0
Blaine,365,323,34,6,2,0,0,172,53,19,0,0,0,365,0
Boise,366,199,155,6,5,1,0,223,72,46,0,0,0,366,0
Bonner,365,283,72,5,5,0,0,190,58,32,0,0,0,316,49
Bonneville,362,298,59,1,4,0,0,155,56,28,0,0,0,362,0
Butte,364,334,28,1,1,0,0,152,50,40,0,0,352,12,0
Canyon,366,210,140,10,6,0,0,158,76,42,0,0,0,352,14
Custer,115,105,7,3,0,0,0,126,38,7,0,0,0,115,0
Franklin,365,297,65,2,1,0,0,162,58,26,0,0,0,365,0
Idaho,366,244,113,3,5,1,0,209,64,40,0,0,127,239,0
Jerome,213,213,0,0,0,0,0,49,26,13,0,0,0,213,0
Kootenai,354,288,58,1,2,4,1,518,55,26,0,0,0,354,0
Latah,361,319,35,0,1,4,2,415,52,21,0,0,0,361,0
Lemhi,365,194,160,8,3,0,0,168,80,46,0,0,0,365,0
Nez Perce,366,279,76,4,0,6,1,475,63,28,0,0,0,366,0
Shoshone,366,221,138,0,3,3,1,440,68,41,0,0,0,364,2
Twin Falls,364,313,44,3,4,0,0,163,56,24,0,0,0,364,0
Valley,329,205,117,5,1,1,0,211,68,40,0,0,0,329,0
Adams,244,220,24,0,0,0,0,84,50,38,0,0,244,0,0
Champaign,366,250,114,2,0,0,0,126,61,44,0,0,156,210,0
Clark,363,347,16,0,0,0,0,97,45,31,0,0,363,0,0
Cook,366,86,260,16,4,0,0,164,84,58,0,5,73,263,25
DuPage,366,213,149,3,1,0,0,154,64,47,0,0,114,252,0
Effingham,166,156,10,0,0,0,0,84,48,37,0,0,166,0,0
Hamilton,353,223,129,1,0,0,0,118,61,46,0,0,94,259,0
Jersey,358,258,99,1,0,0,0,112,58,44,0,0,144,214,0
Jo Daviess,353,337,16,0,0,0,0,87,44,32,0,0,353,0,0
Kane,279,204,68,6,1,0,0,161,66,42,0,0,193,86,0
Lake,241,199,31,10,1,0,0,185,74,39,0,0,241,0,0
Macon,362,214,148,0,0,0,0,90,60,46,0,0,100,262,0
Macoupin,364,346,18,0,0,0,0,93,45,31,0,129,235,0,0
Madison,365,129,233,3,0,0,0,112,71,54,0,0,91,273,1
McHenry,334,192,133,9,0,0,0,147,62,47,0,0,107,227,0
McLean,364,207,154,3,0,0,0,136,61,48,0,0,111,253,0
Peoria,364,247,116,1,0,0,0,115,61,44,0,0,169,195,0
Randolph,366,243,121,2,0,0,0,103,59,44,0,0,113,253,0
Rock Island,355,234,120,1,0,0,0,102,61,43,0,0,109,246,0
Saint Clair,365,260,105,0,0,0,0,100,60,42,0,73,111,181,0
Sangamon,364,254,110,0,0,0,0,97,58,44,0,0,153,211,0
Will,363,183,176,3,1,0,0,156,64,50,0,0,79,284,0
Winnebago,366,205,160,1,0,0,0,101,64,47,0,0,84,282,0
Allen,366,232,132,2,0,0,0,120,61,45,0,0,150,216,0
Bartholomew,366,275,91,0,0,0,0,97,57,41,0,0,191,175,0
Boone,352,330,20,2,0,0,0,101,48,32,0,0,352,0,0
Brown,364,349,15,0,0,0,0,80,44,33,0,0,364,0,0
Carroll,364,352,12,0,0,0,0,100,44,31,0,0,364,0,0
Clark,366,186,180,0,0,0,0,92,62,50,0,0,77,289,0
Delaware,365,303,62,0,0,0,0,97,55,35,0,0,291,74,0
Dubois,123,78,45,0,0,0,0,71,59,44,0,0,0,121,2
Elkhart,366,254,110,0,2,0,0,161,58,42,0,0,139,227,0
Floyd,363,347,15,1,0,0,0,143,44,32,0,0,363,0,0
Greene,361,312,49,0,0,0,0,90,54,36,0,0,292,69,0
Hamilton,366,247,119,0,0,0,0,97,59,44,0,0,155,211,0
Hendricks,366,348,18,0,0,0,0,87,45,32,0,0,366,0,0
Henry,118,87,31,0,0,0,0,67,57,39,0,0,0,118,0
Howard,366,266,99,1,0,0,0,108,58,42,0,0,207,159,0
Knox,351,328,22,1,0,0,0,105,48,33,0,0,351,0,0
LaPorte,366,291,68,6,1,0,0,154,63,38,0,0,309,57,0
Lake,366,161,199,6,0,0,0,136,68,52,0,1,86,275,4
Madison,366,233,133,0,0,0,0,97,59,44,0,0,127,239,0
Marion,366,110,250,6,0,0,0,144,72,55,0,0,56,309,1
Monroe,357,240,117,0,0,0,0,72,57,41,0,0,0,357,0
Perry,366,352,13,1,0,0,0,105,45,34,0,0,366,0,0
Porter,366,247,113,5,1,0,0,151,61,43,0,0,193,165,8
Posey,355,336,18,1,0,0,0,112,45,31,0,0,355,0,0
Shelby,366,347,18,1,0,0,0,115,46,32,0,0,366,0,0
Spencer,122,80,42,0,0,0,0,67,58,42,0,0,0,122,0
St. Joseph,366,207,154,4,1,0,0,166,65,47,0,0,137,229,0
Sullivan,31,23,8,0,0,0,0,59,57,39,0,0,0,31,0
Tippecanoe,348,167,181,0,0,0,0,73,61,51,0,0,0,348,0
Vanderburgh,366,248,116,2,0,0,0,101,61,43,0,0,174,192,0
Vigo,366,223,142,1,0,0,0,112,61,46,0,0,135,231,0
Wabash,363,337,26,0,0,0,0,97,49,35,0,0,363,0,0
Warrick,366,347,17,2,0,0,0,112,47,33,0,0,366,0,0
Whitley,336,160,176,0,0,0,0,79,61,51,0,0,0,336,0
Black Hawk,366,239,127,0,0,0,0,92,59,42,0,0,0,366,0
Bremer,244,232,12,0,0,0,0,87,45,35,0,0,244,0,0
Cerro Gordo,122,120,2,0,0,0,0,60,37,18,0,0,0,0,122
Clinton,324,199,125,0,0,0,0,87,62,45,0,0,125,199,0
Harrison,242,223,19,0,0,0,0,87,49,37,0,0,242,0,0
Johnson,362,207,154,1,0,0,0,105,63,47,0,0,0,362,0
Lee,118,83,35,0,0,0,0,76,58,40,0,0,0,118,0
Linn,366,207,158,1,0,0,0,105,63,47,0,0,78,288,0
Montgomery,366,277,89,0,0,0,0,79,57,41,0,0,121,245,0
Muscatine,366,245,120,1,0,0,0,124,59,40,0,0,0,366,0
Palo Alto,366,273,93,0,0,0,0,87,57,40,0,0,151,215,0
Polk,366,261,103,0,2,0,0,199,59,42,0,4,125,237,0
Pottawattamie,124,85,39,0,0,0,0,80,58,41,0,0,0,121,3
Scott,366,173,190,2,1,0,0,156,66,52,0,0,73,215,78
Van Buren,366,281,85,0,0,0,0,87,55,39,0,0,148,218,0
Woodbury,122,92,30,0,0,0,0,81,56,39,0,0,0,122,0
Chase,121,110,11,0,0,0,0,63,47,24,0,0,0,121,0
Ford,302,297,5,0,0,0,0,79,29,11,0,0,0,0,302
Johnson,365,250,114,1,0,0,0,117,61,41,0,0,142,221,2
Leavenworth,366,356,10,0,0,0,0,77,44,32,0,0,366,0,0
Neosho,366,235,129,2,0,0,0,106,59,44,0,0,108,250,8
Sedgwick,366,296,67,3,0,0,0,114,56,40,0,3,251,104,8
Shawnee,366,227,135,2,2,0,0,169,61,44,0,0,128,235,3
Sherman,303,282,20,1,0,0,0,106,44,13,0,0,0,0,303
Sumner,366,231,132,3,0,0,0,117,63,45,0,0,123,229,14
Trego,365,307,57,1,0,0,0,147,54,38,0,0,260,96,9
Wyandotte,366,146,215,5,0,0,0,116,67,53,0,0,58,305,3
Bell,263,242,21,0,0,0,0,74,48,34,0,0,215,48,0
Boone,242,218,24,0,0,0,0,87,50,36,0,0,242,0,0
Boyd,366,285,81,0,0,0,0,89,57,41,0,2,115,248,1
Bullitt,240,224,15,1,0,0,0,115,48,37,0,0,240,0,0
Campbell,366,246,120,0,0,0,0,93,59,43,0,0,117,249,0
Carter,285,273,12,0,0,0,0,64,45,33,0,0,209,75,1
Christian,320,249,71,0,0,0,0,85,56,41,0,0,179,141,0
Daviess,366,254,111,1,0,0,0,105,59,43,0,1,126,239,0
