NAME,state,county
"Barbour County, West Virginia",54,001
"Boone County, West Virginia",54,005
"Braxton County, West Virginia",54,007
"Cabell County, West Virginia",54,011
"Calhoun County, West Virginia",54,013
"Clay County, West Virginia",54,015
"Fayette County, West Virginia",54,019
"Gilmer County, West Virginia",54,021
"Greenbrier County, West Virginia",54,025
"Hampshire County, West Virginia",54,027
"Hardy County, West Virginia",54,031
"Harrison County, West Virginia",54,033
"Jefferson County, West Virginia",54,037
"Kanawha County, West Virginia",54,039
"Lincoln County, West Virginia",54,043
"Logan County, West Virginia",54,045
"Marion County, West Virginia",54,049
"Marshall County, West Virginia",54,051
"Mercer County, West Virginia",54,055
"Mineral County, West Virginia",54,057
"Monongalia County, West Virginia",54,061
"Monroe County, West Virginia",54,063
"Nicholas County, West Virginia",54,067
"Ohio County, West Virginia",54,069
"Pendleton County, West Virginia",54,071
"Pleasants County, West Virginia",54,073
"Pocahontas County, West Virginia",54,075
"Preston County, West Virginia",54,077
"Putnam County, West Virginia",54,079
"Raleigh County, West Virginia",54,081
"Randolph County, West Virginia",54,083
"Ritchie County, West Virginia",54,085
"Roane County, West Virginia",54,087
"Summers County, West Virginia",54,089
"Taylor County, West Virginia",54,091
"Tucker County, West Virginia",54,093
"Tyler County, West Virginia",54,095
"Upshur County, West Virginia",54,097
"Wayne County, West Virginia",54,099
"Webster County, West Virginia",54,101
"Wetzel County, West Virginia",54,103
"Wirt County, West Virginia",54,105
"Wood County, West Virginia",54,107
"Wyoming County, West Virginia",54,109
"Berkeley County, West Virginia",54,003
"Brooke County, West Virginia",54,009
"Doddridge County, West Virginia",54,017
"Grant County, West Virginia",54,023
"Hancock County, West Virginia",54,029
"Jackson County, West Virginia",54,035
"Lewis County, West Virginia",54,041
"McDowell County, West Virginia",54,047
"Mason County, West Virginia",54,053
"Mingo County, West Virginia",54,059
"Morgan County, West Virginia",54,065