County,County Value**,Error Margin,AIAN,Asian,Black,Hispanic,White
"West Virginia","$54,100","$52,600 to $55,600",,,,,
"Barbour","$46,300","$39,400 to $53,200",,,,,
"Berkeley","$70,800","$65,100 to $76,500","$103,100",,"$68,800","$63,900","$74,200"
"Boone","$46,500","$40,000 to $53,000",,,,,
"Braxton","$43,300","$38,200 to $48,500",,,"$24,100",,"$44,700"
"Brooke","$61,600","$56,500 to $66,600",,"$69,400","$41,500","$76,100","$53,400"
"Cabell","$51,000","$45,300 to $56,800","$40,800",,"$17,100","$41,800","$52,500"
"Calhoun","$43,600","$37,800 to $49,300",,,,,
"Clay","$42,600","$36,400 to $48,800",,,,,
"Doddridge","$47,800","$41,500 to $54,000",,,,,
"Fayette","$48,700","$43,200 to $54,200","$26,600",,"$29,900","$13,300","$51,100"
"Gilmer","$44,900","$39,000 to $50,800",,,,,
"Grant","$58,200","$53,200 to $63,100",,,,"$35,700","$52,500"
"Greenbrier","$45,100","$39,900 to $50,400","$39,300",,"$40,700",,"$46,400"
"Hampshire","$58,300","$51,800 to $64,700",,,,,
"Hancock","$58,100","$51,700 to $64,400",,,"$58,600","$28,200","$57,500"
"Hardy","$53,900","$46,200 to $61,500",,,,,
"Harrison","$57,800","$52,000 to $63,500","$28,800",,"$52,600","$76,000","$56,200"
"Jackson","$54,700","$47,200 to $62,200",,,,"$63,400","$55,900"
"Jefferson","$87,300","$77,600 to $96,900",,"$63,900","$79,500","$79,500","$97,500"
"Kanawha","$55,200","$50,100 to $60,300","$66,500","$92,700","$35,500","$91,700","$56,300"
"Lewis","$53,300","$46,300 to $60,300",,"$22,000",,,"$50,100"
"Lincoln","$43,700","$37,200 to $50,200",,,,,
"Logan","$42,600","$36,900 to $48,300",,,"$18,400",,"$43,400"
"Marion","$58,900","$54,500 to $63,200",,,"$21,600","$103,000","$61,800"
"Marshall","$51,900","$45,300 to $58,600",,,"$63,700","$39,000","$57,900"
"Mason","$48,100","$42,300 to $53,900",,,,"$81,200","$51,900"
"McDowell","$29,000","$25,000 to $32,900",,,"$23,300","$12,100","$30,600"
"Mercer","$43,900","$38,900 to $49,000",,"$77,900","$39,700",,"$47,500"
"Mineral","$59,700","$53,400 to $66,000",,,"$68,400",,"$63,800"
"Mingo","$35,800","$31,100 to $40,400",,,,,
"Monongalia","$59,100","$51,900 to $66,300",,"$73,900","$55,100","$34,000","$61,600"
"Monroe","$53,200","$47,200 to $59,100",,,,"$92,900","$52,800"
"Morgan","$56,200","$49,800 to $62,500",,,"$40,600",,"$61,600"
"Nicholas","$46,800","$40,100 to $53,400",,,,,
"Ohio","$60,200","$54,200 to $66,300",,"$141,500","$30,100",,"$57,000"
"Pendleton","$52,600","$45,400 to $59,700",,,,"$13,900","$53,300"
"Pleasants","$56,400","$48,400 to $64,400",,,,,
"Pocahontas","$44,600","$38,500 to $50,600",,,,,
"Preston","$56,000","$51,400 to $60,500",,,,,
"Putnam","$80,000","$73,200 to $86,800",,,,,
"Raleigh","$51,300","$48,100 to $54,500",,,"$33,600",,"$50,200"
"Randolph","$49,400","$46,300 to $52,500",,,"$22,700","$57,300","$51,300"
"Ritchie","$52,000","$44,100 to $59,800",,,,,
"Roane","$42,700","$37,900 to $47,500",,,,,
"Summers","$40,600","$34,800 to $46,300",,,"$60,500",,"$42,600"
"Taylor","$54,000","$46,000 to $61,900",,,,,
"Tucker","$50,400","$43,700 to $57,200",,,,,
"Tyler","$57,600","$50,700 to $64,500",,,,,
"Upshur","$47,000","$42,000 to $52,000",,,,"$33,100","$50,300"
"Wayne","$52,500","$47,000 to $58,100",,,"$78,900","$90,700","$52,300"
"Webster","$40,600","$35,000 to $46,200",,,,,
"Wetzel","$48,600","$42,100 to $55,000",,,,,
"Wirt","$43,400","$40,400 to $46,500",,,,,
"Wood","$57,600","$51,300 to $63,900","$27,200","$63,200",,"$60,100","$55,100"
"Wyoming","$39,900","$34,700 to $45,100",,,,,